P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate
5200002731,14.05.2015,300104,2,Arctic HVAC Engineering Pvt. Ltd.,16000003284,Panasonic Split A/C remote,Milind,"1,550.00"
5200002773,03.06.2015,300104,7,Arctic HVAC Engineering Pvt. Ltd.,16000002274,Corded Remote,Milind,"3,250.00"
5200002876,01.07.2015,300091,15,Navkar Enterprises,16000000822,10W / 13W / 18W PLC Philips/Havells,Milind,85
5200002876,01.07.2015,300091,10,Navkar Enterprises,16000000856,10W /13W / 18W copper choke,Milind,110
5200002876,01.07.2015,300091,4,Navkar Enterprises,16000000872,18W / 20W / 36W / 40W TL & TLD,Milind,43
5200002876,01.07.2015,300091,4,Navkar Enterprises,16000000857,20W /26W / 36W / 40W  copper choke,Milind,130
5200002997,07.08.2015,300091,6,Navkar Enterprises,16000000872,36W TL & TLD - 4Ft,Milind,43
5200002997,07.08.2015,300091,5,Navkar Enterprises,16000000872,36W TL & TLD - 2Ft,Milind,43
5200002997,07.08.2015,300091,31,Navkar Enterprises,16000000862,Starter,Milind,13
5200002997,07.08.2015,300091,3,Navkar Enterprises,16000000855,Copper choke,Milind,100
5200002997,07.08.2015,300091,26,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200002997,07.08.2015,300091,10,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200002997,07.08.2015,300091,2,Navkar Enterprises,16000000823,36W PLL Philips/Havells,Milind,140
5200002997,07.08.2015,300091,2,Navkar Enterprises,16000000857,36W copper choke,Milind,140
5200002997,07.08.2015,300091,1,Navkar Enterprises,16000000842,36W CFL 230-250V CFL,Milind,280
5200002997,07.08.2015,300091,1,Navkar Enterprises,16000000862,Electronic Starter,Milind,220
5200003065,08.09.2015,300104,1,Arctic HVAC Engineering Pvt. Ltd.,16000001206,Daikin Cassette I.D PCB,Milind,"5,500.00"
5200003078,11.09.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003078,11.09.2015,300091,10,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003078,11.09.2015,300091,5,Navkar Enterprises,16000000872,40W TL & TLD,Milind,43
5200003078,11.09.2015,300091,3,Navkar Enterprises,16000000857,40W  copper choke,Milind,140
5200003078,11.09.2015,300091,5,Navkar Enterprises,16000000862,Starter,Milind,13
5200003078,11.09.2015,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,Milind,43
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,Milind,75
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000855,11 W Copper choke,Milind,100
5200003120,28.09.2015,300091,25,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003120,28.09.2015,300091,10,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003120,28.09.2015,300091,5,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,Milind,160
5200003120,28.09.2015,300091,1,Navkar Enterprises,16000000857,40W  copper choke,Milind,140
5200003120,28.09.2015,300091,2,Navkar Enterprises,16000000872,40W TL & TLD,Milind,43
5200003120,28.09.2015,300091,2,Navkar Enterprises,16000000862,Starter,Milind,13
5200003120,28.09.2015,300091,2,Navkar Enterprises,16000002560,2 Ft Tube patti Set,Milind,327
5200003120,28.09.2015,300091,1,Navkar Enterprises,16000000845,"4"" cyclone Axialfan",Milind,310
5200003145,01.10.2015,300336,1,Credence Infotech,16000003180,ADOBE ILLUSTRATOR CC,Milind,"14,100.00"
5200003145,01.10.2015,300336,15,Credence Infotech,16000003179,ADOBE PHOTOSHOP CC,Milind,"14,100.00"
5200003145,01.10.2015,300336,4,Credence Infotech,16000003280,ADOBE PREMIERE PRO CS6 - CC,Milind,"14,100.00"
5200003159,02.10.2015,300091,7,Navkar Enterprises,16000000856,13W copper choke,Milind,120
5200003159,02.10.2015,300091,24,Navkar Enterprises,16000000822,13W PLC Philips/Havells,Milind,88
5200003159,02.10.2015,300091,24,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003159,02.10.2015,300091,7,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003159,02.10.2015,300091,2,Navkar Enterprises,16000000864,Max Bell Small,Milind,95
5200003159,02.10.2015,300091,1,Navkar Enterprises,16000001066,Bell push,Milind,72
5200003164,09.10.2015,300091,25,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003164,09.10.2015,300091,12,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003164,09.10.2015,300091,2,Navkar Enterprises,16000000872,40W TL & TLD,Milind,43
5200003164,09.10.2015,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,Milind,160
5200003164,09.10.2015,300091,5,Navkar Enterprises,16000000862,Starter,Milind,13
5200003170,09.10.2015,300091,54,Navkar Enterprises,16000000822,13W PLC Philips/Havells,Milind,88
5200003170,09.10.2015,300091,20,Navkar Enterprises,16000000856,13W copper choke,Milind,120
5200003170,09.10.2015,300091,13,Navkar Enterprises,16000000821,11W PL Tube Philips/Havells,Milind,75
5200003170,09.10.2015,300091,10,Navkar Enterprises,16000000855,11W Copper choke,Milind,100
5200003170,09.10.2015,300091,16,Navkar Enterprises,16000000862,Starter,Milind,13
5200003170,09.10.2015,300091,1,Navkar Enterprises,16000000857,20W copper choke,Milind,140
5200003170,09.10.2015,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,Milind,43
5200003170,09.10.2015,300091,1,Navkar Enterprises,16000000872,40W TL & TLD,Milind,43
5200003170,09.10.2015,300091,2,Navkar Enterprises,16000000857,40W  copper choke,Milind,140
5200003170,09.10.2015,300091,20,Navkar Enterprises,16000000885,11W PL Holder,Milind,15
5200003170,09.10.2015,300091,10,Navkar Enterprises,16000000886,13W PLC Holder,Milind,20
5200003170,09.10.2015,300091,4,Navkar Enterprises,16000000864,Max Bell big,Milind,150
5200003170,09.10.2015,300091,8,Navkar Enterprises,16000001083,6A Switch,Milind,36
5200003170,09.10.2015,300091,2,Navkar Enterprises,16000000864,Max Bell small,Milind,95
5200003170,09.10.2015,300091,2,Navkar Enterprises,17000000802,BUTTON SWITCH,Milind,36
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000857,40W  copper choke,Milind,140
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000857,36W copper choke,Milind,140
5200003175,13.10.2015,300091,10,Navkar Enterprises,16000000822,18W PLC Philips/Havells,Milind,88
5200003175,13.10.2015,300091,5,Navkar Enterprises,16000000856,18W copper choke,Milind,120
5200003175,13.10.2015,300091,9,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,Milind,75
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000823,36W PLL Philips/Havells,Milind,140
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000872,40W TL & TLD,Milind,43
5200003175,13.10.2015,300091,1,Navkar Enterprises,16000000857,20W copper choke,Milind,140
5200003175,13.10.2015,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,Milind,43
5200003193,19.10.2015,300091,60,Navkar Enterprises,16000000762,4 pair tel wire (Mtr),Milind,21
5200003193,19.10.2015,300091,10,Navkar Enterprises,16000000578,"Coupling ¾"" Or 25 mm",Milind,4
