P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5200002731,14.05.2015,300104,2,Arctic HVAC Engineering Pvt. Ltd.,16000003284,Panasonic Split A/C remote,A,"1,550.00",0101.MZGN
5200002773,03.06.2015,300104,7,Arctic HVAC Engineering Pvt. Ltd.,16000002274,Corded Remote,A,"3,250.00",0101.ADHL
5200002997,07.08.2015,300091,6,Navkar Enterprises,16000000872,36W TL & TLD - 4Ft,A,43,0101.DDRW
5200002997,07.08.2015,300091,5,Navkar Enterprises,16000000872,36W TL & TLD - 2Ft,A,43,0101.DDRW
5200002997,07.08.2015,300091,31,Navkar Enterprises,16000000862,Starter,A,13,0101.DDRW
5200002997,07.08.2015,300091,3,Navkar Enterprises,16000000855,Copper choke,A,100,0101.DDRW
5200002997,07.08.2015,300091,26,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.DDRW
5200002997,07.08.2015,300091,10,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.DDRW
5200002997,07.08.2015,300091,2,Navkar Enterprises,16000000823,36W PLL Philips/Havells,A,140,0101.DDRW
5200002997,07.08.2015,300091,2,Navkar Enterprises,16000000857,36W copper choke,A,140,0101.DDRW
5200002997,07.08.2015,300091,1,Navkar Enterprises,16000000842,36W CFL 230-250V CFL,A,280,0101.DDRW
5200002997,07.08.2015,300091,1,Navkar Enterprises,16000000862,Electronic Starter,A,220,0101.DDRW
5200003065,08.09.2015,300104,1,Arctic HVAC Engineering Pvt. Ltd.,16000001206,Daikin Cassette I.D PCB,A,"5,500.00",0101.DHSE
5200003078,11.09.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.KVLW
5200003078,11.09.2015,300091,10,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.KVLW
5200003078,11.09.2015,300091,5,Navkar Enterprises,16000000872,40W TL & TLD,A,43,0101.KVLW
5200003078,11.09.2015,300091,3,Navkar Enterprises,16000000857,40W  copper choke,A,140,0101.KVLW
5200003078,11.09.2015,300091,5,Navkar Enterprises,16000000862,Starter,A,13,0101.KVLW
5200003078,11.09.2015,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,A,43,0101.KVLW
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0106.GRNC
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000856,18W copper choke,A,120,0106.GRNC
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,A,75,0106.GRNC
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000855,11 W Copper choke,A,100,0106.GRNC
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000857,40W  copper choke,A,140,0101.BHYW
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000857,36W copper choke,A,140,0101.BHYW
5200003175,13.10.2015,300091,10,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.BHYW
5200003175,13.10.2015,300091,5,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.BHYW
5200003175,13.10.2015,300091,9,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,A,75,0101.BHYW
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000823,36W PLL Philips/Havells,A,140,0101.BHYW
5200003175,13.10.2015,300091,2,Navkar Enterprises,16000000872,40W TL & TLD,A,43,0101.BHYW
5200003175,13.10.2015,300091,1,Navkar Enterprises,16000000857,20W copper choke,A,140,0101.BHYW
5200003175,13.10.2015,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,A,43,0101.BHYW
5200003275,28.11.2015,300091,13,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.BVLE
5200003275,28.11.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.BVLE
5200003275,28.11.2015,300091,4,Navkar Enterprises,16000000862,Starter,A,13,0101.BVLE
5200003275,28.11.2015,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,A,160,0101.BVLE
5200003416,30.01.2016,300091,10,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.VASW
5200003416,30.01.2016,300091,5,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.VASW
5200003416,30.01.2016,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,A,160,0101.VASW
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000872,40W TL & TLD,A,43,0101.VASW
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,A,43,0101.VASW
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000851,"9"" shutterfan",A,960,0101.VASW
5200003420,08.02.2016,300091,30,Navkar Enterprises,16000000872,TL & TLD,A,43,0101.DHSE
5200003420,08.02.2016,300091,30,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.DHSE
5200003420,08.02.2016,300091,1,Navkar Enterprises,16000000823,36W PLL Philips/Havells,A,140,0101.DHSE
5200003420,08.02.2016,300091,1,Navkar Enterprises,16000000859,36W Teknol.  Ele. Choke,A,160,0101.DHSE
5200003420,08.02.2016,300091,1,Navkar Enterprises,16000002423,32W CFL Light,A,280,0101.DHSE
5200003659,10.05.2016,300091,40,Navkar Enterprises,16000000822,18W PLC Philips/Havells,A,88,0101.AMBE
5200003659,10.05.2016,300091,5,Navkar Enterprises,16000000872,20W TL & TLD,A,43,0101.AMBE
5200003659,10.05.2016,300091,4,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,A,160,0101.AMBE
5200003659,10.05.2016,300091,1,Navkar Enterprises,16000000846,"6"" cyclone Axial Fan",A,650,0101.AMBE
5200003659,10.05.2016,300091,3,Navkar Enterprises,16000001068,Roma Bell Small,A,95,0101.AMBE
5200003659,10.05.2016,300091,1,Navkar Enterprises,16000001055,Roma 6A Switch,A,35,0101.AMBE
5200003659,10.05.2016,300091,15,Navkar Enterprises,16000000856,18W copper choke,A,120,0101.AMBE
5200003659,10.05.2016,300091,2,Navkar Enterprises,16000000888,40W Halogen Holder,A,15,0101.AMBE
5300001654,27.01.2015,300263,"11,071.00",Dhandeep Stationery & Xerox,14000000249,Xerox (front page),A,0.5,0105.CHEM
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.MNPU
5300001860,04.06.2015,301146,325,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.HBLI
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.CRTR
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.TMKR
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.MYSR
5300001860,04.06.2015,301146,315,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.BELG
5300001860,04.06.2015,301146,230,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.GULB
5300001860,04.06.2015,301146,255,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0305.BNPU
5300001860,04.06.2015,301146,245,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0305.DAVG
5300001860,04.06.2015,301146,235,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.DHWD
5300001860,04.06.2015,301146,190,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.KOLR
5300001860,04.06.2015,301146,205,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.CHIT
5300001860,04.06.2015,301146,115,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.KNKP
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.RJJN
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.BIDR
5300001860,04.06.2015,301146,135,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.MNDY
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.YLHK
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000280,XI Physics Booklet-1,A,68,0399.CHAM
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000281,XI Physics Booklet-2,A,50,0399.MNPU
5300001860,04.06.2015,301146,325,Jayant Printery LLP,14000000281,XI Physics Booklet-2,A,50,0399.HBLI
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000281,XI Physics Booklet-2,A,50,0399.CRTR
