P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_center,
7200004977,02.07.2015,1100011,15,Navkar Enterprises,17000000832,10W / 13W / 18W PLC Philips/Havells,AJ,85,0101A,
7200004977,02.07.2015,1100011,110,Navkar Enterprises,17000000856,10W /13W / 18W copper choke,AJ,95,0101A,
7200004977,02.07.2015,1100011,43,Navkar Enterprises,17000000872,18W / 20W / 36W / 40W TL & TLD,AJ,100,0101A,
7200004977,02.07.2015,1100011,130,Navkar Enterprises,17000000857,20W /26W / 36W / 40W  copper choke,AJ,110,0101A,
7200004977,02.07.2015,1100011,60,Navkar Enterprises,17000000857,,AJ,20,0101A,
7200004977,02.07.2015,1100011,70,Navkar Enterprises,17000000857,,AJ,10,0101A,
7200004977,02.07.2015,1100011,80,Navkar Enterprises,17000000857,,AJ,24,0101A,1
7200004978,02.07.2017,1100011,90,Navkar Enterprises,17000000857,,AJ,35,0102A,
7200004978,02.10.2015,6100011,15,Navkar Enterprises,17000000857,,AJ,45,0102A,
7200004978,02.10.2015,6100011,110,Navkar Enterprises,17000000857,,AJ,57,0102A,
7200004978,02.10.2015,6100011,43,Navkar Enterprises,17000000857,,AJ,67,0102A,
7200004978,02.10.2015,6100011,130,Navkar Enterprises,17000000857,,AJ,89,0102A,
8300005989,09.09.2018,7100011,110,Navkar Enterprises,17000000857,,AJ,90,0102A,
8300005989,09.09.2015,7100011,110,Navkar Enterprises,17000000857,,AJ,12,0102A,
8300005989,09.09.2016,7100011,110,Navkar Enterprises,17000000857,,AJ,23,0102A,
8300005989,12.12.2015,7100011,110,Navkar Enterprises,17000000857,,AJ,34,0102A,
8300005989,12.12.2015,9100011,110,Navkar Enterprises,17000000857,,AJ,45,0102A,
8300005989,10.10.2016,9100011,110,Navkar Enterprises,17000000857,,AJ,65,0102A,
