P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
520000486,07.08.2016,301370,193,Credence Infotech,IT1510000012,36W TL & TLD - 4Ft,Milind,1.46,0101.AMBE
520000486,07.08.2016,301370,193,Credence Infotech,IT1510000012,36W TL & TLD - 2Ft,Milind,1.46,0101.ADHN
520000486,07.08.2016,301370,193,Credence Infotech,IT1510000012,Electronic Starter,Milind,1.46,0101.ADHW
520000486,07.08.2016,301370,193,Credence Infotech,IT1510000012,Copper choke,Milind,1.46,0101.ADHL
520000486,07.08.2016,301370,192,Credence Infotech,IT1510000012,18W PLC Philips/Havells,Milind,1.46,0101.BDRA
520000486,07.08.2016,301268,192,Credence Infotech,IT1510000012,18W copper choke,Milind,1.46,0101.AIRO
520000486,07.08.2016,301370,192,Credence Infotech,IT1510000012,36W PLL Philips/Havells,Milind,1.46,0101.DHSE
520000486,07.08.2016,V10000001,192,Credence Infotech,IT1510000012,36W copper choke,Milind,1.46,0101.DMBE
520000486,07.08.2016,301268,192,Credence Infotech,IT1510000012,18W copper choke,Milind,1.46,0101.MNDP
520000486,07.08.2016,V10000001,192,Credence Infotech,IT1510000012,Electronic Starter,Milind,1.46,0101.GKPE
520000486,07.08.2016,301268,192,Credence Infotech,IT1510000012,Electronic Starter,Milind,1.46,0101.GKPE
520000486,07.08.2016,V10000001,192,Credence Infotech,IT1510000012,Electronic Starter,Milind,1.46,0101.GKPE
520000486,07.08.2016,V10000001,192,Credence Infotech,IT1510000012,Electronic Starter,Milind,1.46,0101.GKPE
