P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5200002731,14.05.2015,300104,2,Arctic HVAC Engineering Pvt. Ltd.,IT1510000001,Panasonic Split A/C remote,2,"1,550.00",0101.MZGN
5200002773,03.06.2015,300104,7,Arctic HVAC Engineering Pvt. Ltd.,IT1510000002,Corded Remote,7,"3,250.00",0101.ADHL
5200002997,07.08.2015,300091,6,Navkar Enterprises,IT1510000003,36W TL & TLD - 4Ft,6,43,0101.DDRW
5200002997,07.08.2015,300091,5,Navkar Enterprises,IT1510000004,36W TL & TLD - 2Ft,5,43,0101.DDRW
5200002997,07.08.2015,300091,31,Navkar Enterprises,IT1510000005,Starter,31,13,0101.DDRW
5200002997,07.08.2015,300091,3,Navkar Enterprises,IT1510000003,Copper choke,3,100,0101.DDRW
5200002997,07.08.2015,300091,26,Navkar Enterprises,IT1510000004,18W PLC Philips/Havells,26,88,0101.DDRW
5200002997,07.08.2015,300091,10,Navkar Enterprises,IT1510000005,18W copper choke,10,120,0101.DDRW
5200002997,07.08.2015,300091,2,Navkar Enterprises,IT1510000006,36W PLL Philips/Havells,2,140,0101.DDRW
5200002997,07.08.2015,300091,2,Navkar Enterprises,IT1510000007,36W copper choke,2,140,0101.DDRW
5200002997,07.08.2015,300091,1,Navkar Enterprises,IT1510000008,36W CFL 230-250V CFL,1,280,0101.DDRW
5200002997,07.08.2015,300091,1,Navkar Enterprises,IT1510000009,Electronic Starter,1,220,0101.DDRW
5200003065,08.09.2015,300104,1,Arctic HVAC Engineering Pvt. Ltd.,IT1510000009,Daikin Cassette I.D PCB,1,"5,500.00",0101.DHSE
5200003078,11.09.2015,300091,15,Navkar Enterprises,IT1510000009,18W PLC Philips/Havells,15,88,0101.KVLW
5200003078,11.09.2015,300091,10,Navkar Enterprises,IT1610000018,18W copper choke,10,120,0101.KVLW
5200003078,11.09.2015,300091,5,Navkar Enterprises,IT1610000018,40W TL & TLD,5,43,0101.KVLW
5200003078,11.09.2015,300091,3,Navkar Enterprises,IT1610000018,40W  copper choke,3,140,0101.KVLW
5200003078,11.09.2015,300091,5,Navkar Enterprises,IT1610000018,Starter,5,13,0101.KVLW
5200003078,11.09.2015,300091,1,Navkar Enterprises,IT1610000018,20W TL & TLD,1,43,0101.KVLW
