P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Status
5200002876,01.07.2015,300091,15,Navkar Enterprises,16000000822,10W / 13W / 18W PLC Philips/Havells,MK,85,
5200002876,01.07.2015,300091,10,Navkar Enterprises,16000000856,10W /13W / 18W copper choke,MK,110,
5200002876,01.07.2015,300091,4,Navkar Enterprises,16000000872,18W / 20W / 36W / 40W TL & TLD,MK,43,
5200002876,01.07.2015,300091,4,Navkar Enterprises,16000000857,20W /26W / 36W / 40W  copper choke,MK,130,
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,MK,88,
5200003114,24.09.2015,300091,15,Navkar Enterprises,16000000856,18W copper choke,MK,120,
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,MK,75,
5200003114,24.09.2015,300091,2,Navkar Enterprises,16000000855,11 W Copper choke,MK,100,
5200003145,01.10.2015,300336,1,Credence Infotech,16000003180,ADOBE ILLUSTRATOR CC,MK,14100,
5200003146,01.10.2015,300336,15,Credence Infotech,16000003179,ADOBE PHOTOSHOP CC,MK,14100,
5200003145,01.10.2015,300336,4,Credence Infotech,16000003280,ADOBE PREMIERE PRO CS6 - CC,MK,14100,
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000002895,Doorcloser,MK,875,
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000002966,"10"" Handle",MK,365,
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000002016,Link Dead Lock,MK,449,
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000000324,Machine Bolts,MK,5,
5400002736,2015.12.31,200382,7,M P HARDWARES & CO,16000002160,Handle Middle-Stump,MK,395,
5400002736,17.11.2015,200382,26,M P HARDWARES & CO,16000002160,"Zed Ed 4"" Handle",MK,64,
5400002736,17.11.2015,200382,37,M P HARDWARES & CO,16000003201,Brass SS HINGES  4 X 1/2 X 3/4,MK,51.75,
5400002736,11.17.2015,200382,26,M P HARDWARES & CO,16000002527,Astron Catcher,MK,449,
