P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
15200083490000    ,04.1.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
1520880849000    ,13.04.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
1520008390000    ,12.1.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
152010034910000    ,02.02.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
15201081834000    ,12.1.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
152000390000    ,02.1.2016,V10000001,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,0101A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
